user_id,date,record_count,most_frequent,peak_value,latest_value,average_value,weighted_average,cluster_based,weighted_cluster
08,2025-10-31,9,Positive,Positive,Negative,Positive,Neutral,Positive,Positive
08,2025-11-01,1,Positive,Positive,Positive,Positive,Positive,Positive,Positive
09,2025-10-27,2,Positive,Positive,Positive,Positive,Positive,Positive,Positive
09,2025-10-28,16,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral
09,2025-10-29,14,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral
09,2025-10-30,14,Positive,Negative,Negative,Positive,Positive,Positive,Positive
10,2025-10-27,7,Positive,Positive,Positive,Positive,Positive,Positive,Positive
10,2025-10-28,13,Positive,Positive,Positive,Positive,Positive,Positive,Positive
10,2025-10-29,8,Negative,Negative,Negative,Negative,Negative,Negative,Negative
10,2025-10-30,11,Positive,Negative,Negative,Positive,Neutral,Positive,Positive
10,2025-11-05,7,Positive,Positive,Positive,Positive,Positive,Positive,Positive
10,2025-11-06,1,Positive,Positive,Positive,Positive,Positive,Positive,Positive
11,2025-10-29,1,Positive,Positive,Positive,Positive,Positive,Positive,Positive
11,2025-10-30,8,Positive,Negative,Neutral,Neutral,Neutral,Positive,Positive
11,2025-10-31,7,Negative,Positive,Negative,Neutral,Negative,Negative,Neutral
11,2025-11-01,9,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral
11,2025-11-02,3,Negative,Positive,Positive,Neutral,Positive,Negative,Positive
11,2025-11-03,1,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral
